"Name of Building/Facility","Address of Building/Facility - Street","Address of Building/Facility - District","Address of Building/Facility - Region","Location of Water Dispenser","Latitude","Longitude","Type of Water Dispenser","Number of Water Dispenser","Service Hours (From)","Service Hours (To)","Service Hours (Exception)","Water Temperature","Indoor/Outdoor","Remarks"
"Morse Park Swimming Pool","80 Fung Mo Street, Wong Tai Sin, Kowloon","Wong Tai Sin","Kowloon","Opposite the First Aid Room",22.341369,114.190013,"Fountain type",1,"06:30","22:00  ","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Cold","Outdoor","For use by venue / facility users"
"Nan Lian Garden","60 Fung Tak Road, Diamond Hill, Wong Tai Sin, Kowloon","Wong Tai Sin","Kowloon","Xiang Hai Xuan Multi-purpose Hall",22.338564,114.204664,"Fountain type",2,"07:00","21:00",,"Cold","Outdoor",
"Nan Lian Garden","60 Fung Tak Road, Diamond Hill, Wong Tai Sin, Kowloon","Wong Tai Sin","Kowloon","Tang Gallery",22.339344,114.205729,"Fountain type",2,"07:00","21:00",,"Cold","Outdoor",
"Nan Lian Garden","60 Fung Tak Road, Diamond Hill, Wong Tai Sin, Kowloon","Wong Tai Sin","Kowloon","Chinese Timber Architecture Gallery",22.339898,114.204177,"Fountain type",2,"07:00","21:00",,"Cold","Outdoor",
"Ngau Chi Wan Park","71 Fung Shing Street, Ngau Chi Wan, Wong Tai Sin, Kowloon","Wong Tai Sin","Kowloon","Park's Entrance and Exit at Lower Platform ",22.2011,114.125,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Ngau Chi Wan Park","71 Fung Shing Street, Ngau Chi Wan, Wong Tai Sin, Kowloon","Wong Tai Sin","Kowloon","Ladies' Toilet Entrance and Exit at Lower Platform ",22.201,114.1251,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Ngau Chi Wan Park","71 Fung Shing Street, Ngau Chi Wan, Wong Tai Sin, Kowloon","Wong Tai Sin","Kowloon","Ladies' Toilet Entrance and Exit at Lower Platform ",22.2015,114.1251,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Ngau Chi Wan Park","71 Fung Shing Street, Ngau Chi Wan, Wong Tai Sin, Kowloon","Wong Tai Sin","Kowloon","Park's Entrance and Exit at Middle Platform ",22.2017,114.1251,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Ngau Chi Wan Park","71 Fung Shing Street, Ngau Chi Wan, Wong Tai Sin, Kowloon","Wong Tai Sin","Kowloon","Ladies' Toilet Entrance and Exit at Lower Platform ",22.2021,114.1246,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Ngau Chi Wan Park","71 Fung Shing Street, Ngau Chi Wan, Wong Tai Sin, Kowloon","Wong Tai Sin","Kowloon","Park's Entrance and Exit at Upper Platform",22.2021,114.1246,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Ngau Chi Wan Park","71 Fung Shing Street, Ngau Chi Wan, Wong Tai Sin, Kowloon","Wong Tai Sin","Kowloon","Park's Entrance and Exit at East Platform",22.2011,114.1256,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Ngau Chi Wan Park","71 Fung Shing Street, Ngau Chi Wan, Wong Tai Sin, Kowloon","Wong Tai Sin","Kowloon","Basketball Court Entrance and Exit at East Platform",22.201,114.1254,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Ngau Chi Wan Sports Centre","1/F., Ngau Chi Wan Municipal Services Building, 11 Clear Water Bay Road, Kowloon","Wong Tai Sin","Kowloon","Outside Accessible Toilet",22.334426,114.20967,"Fountain type",1,"07:00","23:00",,"Ambient temperature / Cold","Indoor",
"Po Kong Village Road Park","140 Po Kong Village Road, Diamond Hill, Kowloon","Wong Tai Sin","Kowloon","Children's Play Area 1",22.344581,114.205721,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Po Kong Village Road Park","140 Po Kong Village Road, Diamond Hill, Kowloon","Wong Tai Sin","Kowloon","Children's Play Area 3",22.345785,114.202738,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Po Kong Village Road Park","140 Po Kong Village Road, Diamond Hill, Kowloon","Wong Tai Sin","Kowloon","Elderly Fitness Corner 2",22.344502,114.202988,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Po Kong Village Road Park","140 Po Kong Village Road, Diamond Hill, Kowloon","Wong Tai Sin","Kowloon","Artificial Turf Pitches(outside Referee Changing Room)",22.343679,114.204704,"Fountain type",2,"07:30","22:00",,"Ambient temperature","Outdoor",
"Po Kong Village Road Park","140 Po Kong Village Road, Diamond Hill, Kowloon","Wong Tai Sin","Kowloon","Artificial Turf Pitches(outside Ladies' Changing Room)",22.343479,114.204749,"Fountain type",2,"07:30","22:00",,"Ambient temperature","Outdoor",
"Po Kong Village Road Park","140 Po Kong Village Road, Diamond Hill, Kowloon","Wong Tai Sin","Kowloon","Fitness Corner 1(Renewable Energy Corner)",22.342589,114.206447,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Po Kong Village Road Park","140 Po Kong Village Road, Diamond Hill, Kowloon","Wong Tai Sin","Kowloon","Cycling Area",22.345724,114.203375,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Po Kong Village Road Park","140 Po Kong Village Road, Diamond Hill, Kowloon","Wong Tai Sin","Kowloon","Skatepark",22.343892,114.203568,"Fountain type",1,"10:00","22:30",,"Ambient temperature","Outdoor",
"Po Kong Village Road Sports Centre","120 Po Kong Village Road Sports Centre, Kowloon","Wong Tai Sin","Kowloon","1/F Corridor",22.345521,114.201682,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Po Kong Village Road Sports Centre","120 Po Kong Village Road Sports Centre, Kowloon","Wong Tai Sin","Kowloon","Outside Table Tennis Room on the G/F",22.345377,114.201603,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Po Kong Village Road Sports Centre","120 Po Kong Village Road Sports Centre, Kowloon","Wong Tai Sin","Kowloon","2/F Corridor",22.345689,114.201456,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Po Kong Village Road/Shung Wah Street Sitting-out Area","J/O Po Kong Village Road / Shung Wah Street","Wong Tai Sin","Kowloon","Inside Pet Corner",22.345902,114.199588,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Shek Ku Lung Road Playground","18 Lok Sin Road, Wong Tai Sin, Kowloon","Wong Tai Sin","Kowloon","Next to Office",22.331175," 114.192904","Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Tsz Wan Shan Estate Central Playground","1 Wan Wah Street, Tsz Wan Shan, Kowloon","Wong Tai Sin","Kowloon","Near Office",22.34885,114.20115,"Fountain type",2,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Anchor Street Playground","55 Anchor Street, Mong Kok, Kowloon.","Yau Tsim Mong","Kowloon","Outside the men's changing room",22.319891,114.164769,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Anchor Street Playground","55 Anchor Street, Mong Kok, Kowloon.","Yau Tsim Mong","Kowloon","Outside the ladies' changing room",22.319889,114.164678,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Boundary Street Recreation Ground","200 Sai Yee Street, Mong Kok, Kowloon.","Yau Tsim Mong","Kowloon","Outside the Accessible Toilet",22.326248,114.171187,"Fountain type",2,"07:00","23:00","Maintenance Day","Cold","Outdoor","For use by venue / facility hirers"
"Boundary Street Sports Centre No. 1","200 Sai Yee Street, Mong Kok, Kowloon.","Yau Tsim Mong","Kowloon","G/F Lobby",22.325591,114.170914,"Fountain type",2,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Boundary Street Sports Centre No. 2","200 Sai Yee Street, Mong Kok, Kowloon.","Yau Tsim Mong","Kowloon","G/F Corridor",22.325923,114.170534,"Fountain type",2,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Cherry Street Park","1 Cherry Street, Mong Kok, Kowloon.","Yau Tsim Mong","Kowloon","Near the elderly fitness station",22.318249,114.163959,"Fountain type",1,"06:30","23:00",,"Cold","Outdoor",
"Cherry Street Park","1 Cherry Street, Mong Kok, Kowloon.","Yau Tsim Mong","Kowloon","Entrance of tennis courts",22.316402,114.165891,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Cherry Street Park","1 Cherry Street, Mong Kok, Kowloon.","Yau Tsim Mong","Kowloon","Near the gate no.12",22.315955,114.166223,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Cherry Street Park","1 Cherry Street, Mong Kok, Kowloon.","Yau Tsim Mong","Kowloon","Near the gate no.17",22.315025,114.166001,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Cherry Street Park","1 Cherry Street, Mong Kok, Kowloon.","Yau Tsim Mong","Kowloon","Entrance of basketball court",22.313601,114.16638,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Cherry Street Park","1 Cherry Street, Mong Kok, Kowloon.","Yau Tsim Mong","Kowloon","Near the artificial turf pitch",22.313042,114.166366,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Cherry Street Park","1 Cherry Street, Mong Kok, Kowloon.","Yau Tsim Mong","Kowloon","Near the gate no.19",22.315638,114.16596,"Fountain type",1,"06:30","23:00",,"Ambient temperature","Outdoor",
"Fa Yuen Street Sports Centre","Fa Yuen Street, Mong Kok, Kowloon. ","Yau Tsim Mong","Kowloon","10/F corridor, near Activity Room No.1",22.320982,114.170516,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Fa Yuen Street Sports Centre","Fa Yuen Street, Mong Kok, Kowloon. ","Yau Tsim Mong","Kowloon","10/F corridor, near Lobby Entrance",22.320982,114.170516,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Fa Yuen Street Sports Centre","Fa Yuen Street, Mong Kok, Kowloon. ","Yau Tsim Mong","Kowloon","11/F corridor, near Men's Changing Room and Toilet",22.320982,114.170516,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Fa Yuen Street Sports Centre","Fa Yuen Street, Mong Kok, Kowloon. ","Yau Tsim Mong","Kowloon","11/F corridor, near Ladies' Changing Room and Toilet",22.320982,114.170516,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Fa Yuen Street Sports Centre","Fa Yuen Street, Mong Kok, Kowloon. ","Yau Tsim Mong","Kowloon","12/F corridor, near A/C Plant Room",22.320982,114.170516,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Fa Yuen Street Sports Centre","Fa Yuen Street, Mong Kok, Kowloon. ","Yau Tsim Mong","Kowloon","13/F Arena, near Accessible Toilet",22.320982,114.170516,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Hong Kong Cultural Centre","10 Salisbury Road","Yau Tsim Mong","Kowloon","Near Foyer Bar at Level 1","22.29361","114.17101","Non-fountain type",1,"09:00","23:00","Hong Kong Cultural Centre will be closed at 5:30 p.m. on Chinese New Year's Eve, closed whole day on the First Day of Chinese New Year and closed from 9:00 a.m. to 2:00 p.m. on the Second Day of Chinese New Year (Subject to final confirmation by the venue) ","Ambient Temperature","Indoor",
"Hong Kong Museum of Art","10 Salisbury Road","Yau Tsim Mong","Kowloon","G/F Foyer",22.293454,114.171995,"Fountain type",3,"10:00","Mon-Wed, Fri: 18:00
Sat, Sun, PH: 19:00","Hong Kong Museum of Art will be closed on the following public holidays : The First and Second Day of the Chinese New Year;
and will be closed at 5:00pm on the following days : Chinese New Year's Eve and Christmas Eve","Ambient Temperature","Indoor "," "
"King George V Memorial Park, Kowloon","J/O Canton Road/ Jordan Road, Kowloon","Yau Tsim Mong","Kowloon","Near the Football court and basketball court",22.305498,114.167965,"Fountain type",3,"00:00","24:00",,"Ambient temperature","Outdoor",
"King's Park Hockey Ground","2-6 Wylie Road, Kowloon","Yau Tsim Mong","Kowloon","Close to the Toilet",22.3068827,114.1770113,"Fountain type",2,"08:30","22:00",,"Ambient temperature / Cold","Outdoor",
"King's Park Recreation Ground","23 King's Park Rise","Yau Tsim Mong","Kowloon","Close to the upper Changing room",22.310751,114.173916,"Fountain type",1,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"King's Park Recreation Ground","23 King's Park Rise","Yau Tsim Mong","Kowloon","Close to the Tennis court",22.310406,114.173421,"Fountain type",2,"00:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Kowloon Park","22 Austin Road, Kowloon","Yau Tsim Mong","Kowloon","Outside the Men' toilet of Sculpture Walk",22.299542,114.171205,"Fountain type",2,"05:00","24:00",,"Ambient temperature / Cold","Outdoor",
"Kowloon Park Sports Centre","22 Austin Road, Tsim Sha Tsui","Yau Tsim Mong","Kowloon","Outside Men's Changing Room & Toilet on the G/F",22.301871,114.170398,"Fountain type",3,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Kowloon Park Sports Centre","22 Austin Road, Tsim Sha Tsui","Yau Tsim Mong","Kowloon","Outside Squash Court on the 1/F",22.301871,114.170398,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Kowloon Park Swimming Pool","22 Austin Road, Tsim Sha Tsui","Yau Tsim Mong","Kowloon","Entrance Lobby",22.301801,114.170307,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Kowloon Park Swimming Pool","22 Austin Road, Tsim Sha Tsui","Yau Tsim Mong","Kowloon","Indoor Main Pool",22.301833,114.170517,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Kowloon Park Swimming Pool","22 Austin Road, Tsim Sha Tsui","Yau Tsim Mong","Kowloon","Outdoor Leisure Pool No.1",22.301539,114.170369,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Outdoor","For use by venue / facility users"
"Kwun Chung Sports Centre","5/F, Kwun Chung Municipal Services Building, 17 Bowring Street, Jordan, Kowloon","Yau Tsim Mong","Kowloon","Near the notice board on the 5/F",22.304761,114.16823,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Kwun Chung Sports Centre","6/F, Kwun Chung Municipal Services Building, 17 Bowring Street, Jordan, Kowloon","Yau Tsim Mong","Kowloon","Near Booking Office on the 6/F",22.304761,114.16823,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Lok Kwan Street Park","Lok Kwan Street, Mong Kok, Kowloon","Yau Tsim Mong","Kowloon","Near the children's play area",22.323859,114.160476,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"MacPherson Playground","59 Sai Yee Street, Mong Kok, Kowloon","Yau Tsim Mong","Kowloon","Outside the men's toilet",22.318245,114.172147,"Fountain type",1,"07:00","23:00",,"Cold","Outdoor",
"MacPherson Playground","59 Sai Yee Street, Mong Kok, Kowloon","Yau Tsim Mong","Kowloon","Outside the ladies' toilet",22.318537,114.172103,"Fountain type",1,"07:00","23:00",,"Cold","Outdoor",
"MacPherson Playground","59 Sai Yee Street, Mong Kok, Kowloon","Yau Tsim Mong","Kowloon","Near the basketball court",22.318239,114.172794,"Fountain type",1,"07:00","23:00",,"Cold","Outdoor",
"Man Cheong Street Park","Junction of Ferry Street / Yan Cheung Road, Kowloon","Yau Tsim Mong","Kowloon","Near the pet garden",22.308544,114.167238,"Fountain type",1,"07:00","24:00",,"Ambient temperature","Outdoor",
"Man Cheong Street Park","Junction of Ferry Street / Yan Cheung Road, Kowloon","Yau Tsim Mong","Kowloon","Near the community garden",22.308345,114.167231,"Fountain type",1,"08:00","18:00",,"Ambient temperature","Outdoor","For use by venue / facility users"
"Middle Road Children's Playground","J/O Middle Road / Salisbury Road, Kowloon","Yau Tsim Mong","Kowloon","Near the children's play area and elevator",22.295492,114.174472,"Fountain type",3,"00:00","24:00",,"Ambient temperature","Outdoor",
"Mong Kok Road Playground","Mong Kok Road 4A, Mong Kok, Kowloon","Yau Tsim Mong","Kowloon","Opposite the pebble walking trail",22.323136,114.166062,"Fountain type",1,"06:30","23:00",,"Cold","Outdoor",
"Mong Kok Stadium","37 Flower Market Road,
Mong Kok, Kowloon","Yau Tsim Mong","Kowloon","Near box offices",22.3256,114.17239,"Fountain type",2,"Event day","Event day","Open at hiring time interval only","Ambient temperature","Outdoor",
"Mong Kok Stadium","37 Flower Market Road,
Mong Kok, Kowloon","Yau Tsim Mong","Kowloon","Base of South spectator stand & base of North spectator stand",22.3256,114.17239,"Fountain type",4,"Event day","Event day","Open at hiring time interval only","Ambient temperature","Outdoor",
"Sai Yee Street Garden","Sai Yee Street, Soy street, Mong Kok, Kowloon.","Yau Tsim Mong","Kowloon","Outside the store room",22.317017,114.171917,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Saigon Street Playground","J/O Saigon Street/ Ferry Street/ Canton Road, Kowloon","Yau Tsim Mong","Kowloon","Near the children play area",22.308128,114.168272,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Sycamore Playground","12 Willow Street, Mong Kok, Kowloon","Yau Tsim Mong","Kowloon","Outside the park office",22.324192,114.163628,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Sycamore Playground","12 Willow Street, Mong Kok, Kowloon","Yau Tsim Mong","Kowloon","Next to the elderly fitness station ",22.324675,114.163426,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Tai Kok Tsui Sports Centre","6/F., Tai Kok Tsui Municipal Services Building, 63 Fuk Tsun Street, Tai Kok Tsui , Kowloon.","Yau Tsim Mong","Kowloon","6/F Corridor",22.321944,114.162778,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Tai Kok Tsui Sports Centre","7/F., Tai Kok Tsui Municipal Services Building, 63 Fuk Tsun Street, Tai Kok Tsui , Kowloon.","Yau Tsim Mong","Kowloon","7/F Outside Arena",22.321944,114.162778,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Tai Kok Tsui Swimming Pool","4/F., Tai Kok Tsui Municipal Services Building, 63 Fuk Tsun Street, Tai Kok Tsui , Kowloon.","Yau Tsim Mong","Kowloon","Swimming Pool Lobby (Paid area)",22.321944,114.162778,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Tai Kok Tsui Swimming Pool","4/F., Tai Kok Tsui Municipal Services Building, 63 Fuk Tsun Street, Tai Kok Tsui , Kowloon.","Yau Tsim Mong","Kowloon","Pool deck area close to staff access ",22.321944,114.162778,"Fountain type",2,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Tong Mei Road Children's Playground (part temporary)","170 Tong Mi Road, Mong Kok, Kowloon","Yau Tsim Mong","Kowloon","Near the basketball court",22.323136,114.166062,"Fountain type",1,"06:00","23:00",,"Cold","Outdoor",
"Tsim Sha Tsui East Waterfront Podium Garden","J/O Chatham Road South / Salisbury Road, Kowloon","Yau Tsim Mong","Kowloon","Near  the elevator and kiosk",22.296006,114.175754,"Fountain type",2,"00:00","24:00",,"Cold","Outdoor",
"Tsim Sha Tsui Promenade","Salisbury Road, Kowloon","Yau Tsim Mong","Kowloon","Salisbury Road, Kowloon",22.299027,114.180385,"Non-fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Cheung Chau Park","Tai Shek Hau, Cheung Chau.","Islands","New Territories","Outside changing room at Tennis Courts",22.205,114.024444,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Cheung Chau Sports Centre","3 Hospital Road, Cheung Chau.","Islands","New Territories","Near the entrance at the Lobby on the G/F",22.2075,114.031111,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Cheung Chau Sports Ground","Fa Peng Road, Cheung Chau","Islands","New Territories","Near Sports Ground office",22.206667,114.033056,"Fountain type",2,"08:00","23:00",,"Ambient temperature","Outdoor",
"Hung Shing Yeh Beach","Yung Shue Wan, Lamma Island","Islands","New Territories","Adjacent to the outdoor office",22.218889,114.119722,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Lo So Shing Beach","Lo So Shing Beach, Lamma Island","Islands","New Territories","Adjacent to the outdoor office",22.204444,114.122778,"Fountain type",1,"00:00","24:00",,"Cold","Outdoor",
"Man Tung Road Park","55 Man Tung Road, Tung Chung, Lantau Island.","Islands","New Territories","Near the park office",22.292222,113.940833,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Mui Wo Sports Centre","1/F., Mui Wo Municipal Services Building, 9 Ngan Shek Street, Mui Wo, Lantau Island.","Islands","New Territories","Near changing room on the 1/F",22.266944,113.996389,"Fountain type",1,"08:30","22:30","Maintenance Day","Ambient temperature","Indoor",
"Mui Wo Sports Centre","1/F., Mui Wo Municipal Services Building, 9 Ngan Shek Street, Mui Wo, Lantau Island.","Islands","New Territories","Outside fitness room on the 2/F",22.266944,113.996389,"Fountain type",1,"08:30","22:30","Maintenance Day","Ambient temperature","Indoor",
"Mui Wo Swimming Pool","5 Ngan Shek Street, Mui Wo, Lantau Island.","Islands","New Territories","Near the entrance of men's and ladies' toilets at the pool deck ",22.266389,113.995833,"Fountain type",2,"08:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Peng Chau Sports Centre","Peng Chau Municipal Services Building, 6 Po Peng Street, Peng Chau.","Islands","New Territories","Near first aid room at the lobby on the G/F",22.285,114.038056,"Fountain type",1,"08:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Praya Street Sports Centre","1/F-2/F, Cheung Chau Municipal Building, 2 Tai Hing Tai Road, Cheung Chau.","Islands","New Territories","Near men's toilet at the arena on the 2/F",22.206667,114.028333,"Fountain type",1,"07:00","23:00","Maintenance Day","Ambient temperature","Indoor",
"Tat Tung Road Garden","Tat Tung Road, Tung Chung, Lantau Island.","Islands","New Territories","Outside the toilets",22.290833,113.938333,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Tung Chung Man Tung Road Sports Centre","G/F to 2/F, Tung Chung Municipal Services Building, 39 Man Tung Road, Tung Chung","Islands","New Territories","Near lobby on the 2/F",22.290556,113.943889,"Fountain type",2,"07:00","23:00","Maintenance Day","Ambient temperature / Cold","Indoor",
"Tung Chung North Park","29 Man Tung Road, Tung Chung, Lantau Island.","Islands","New Territories","Near the main entrance of pet garden",22.290833,113.948889,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Tung Chung North Park","29 Man Tung Road, Tung Chung, Lantau Island.","Islands","New Territories","Near rear entrance of pet garden",22.290833,113.948889,"Fountain type",1,"07:00","23:00",,"Ambient temperature","Outdoor",
"Tung Chung North Park","29 Man Tung Road, Tung Chung, Lantau Island.","Islands","New Territories","Near pavilion at children's play area",22.290833,113.948889,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Tung Chung North Park","29 Man Tung Road, Tung Chung, Lantau Island.","Islands","New Territories","Near the ladies' toilet of Tai Chi Garden",22.290833,113.948889,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Tung Chung North Park","29 Man Tung Road, Tung Chung, Lantau Island.","Islands","New Territories","Outside the security guard booth",22.290833,113.948889,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Tung Chung Road Soccer Pitch","Tung Chung Road, Tung Chung, Lantau Island","Islands","New Territories","Outside the soccer pitch",22.278056,113.934444,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
"Tung Chung Swimming Pool","5 Tat Tung Road, Tung Chung","Islands","New Territories","Outside the entrance of men's and ladies' toilets at the 1/F lobby  ",22.289444,113.938611,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Tung Chung Swimming Pool","5 Tat Tung Road, Tung Chung","Islands","New Territories","Near the No. 1 lookout post at the corridor of main pool  ",22.289444,113.938611,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Tung Chung Swimming Pool","5 Tat Tung Road, Tung Chung","Islands","New Territories","Outside the entrance of men's and ladies' toilets of 2/F spectator stand  ",22.289444,113.938611,"Fountain type",1,"06:30","22:00","Session breaks, Weekly Cleansing Day, Annual Maintenance and Opening Schedule for Winter. For details, please visit our webpage: http://www.lcsd.gov.hk/en/beach/swim-intro/swim-location-hk.html
","Ambient temperature","Indoor","For use by venue / facility users"
"Yung Shue Wan Playground","Yung Shue Wan Playground","Islands","New Territories","Near the Toilet",22.224229,114.110589,"Fountain type",1,"00:00","24:00",,"Ambient temperature","Outdoor",
"Cheung Fat Sports Centre","4/F Cheung Fat Plaza, Cheung Fat Estate, Tsing Yi, N.T.","Kwai Tsing","New Territories","Next to the First Aid Room",22.362438,114.102677,"Fountain type",2,"07:00","23:00","Maintenance Day","Hot / Cold","Indoor",
"Fung Shue Wo Sports Centre","10 Fung Shue Wo Road, Phase II Tsing Yi Estate, Tsing Yi ","Kwai Tsing","New Territories","Near Vending Machine at the Lobby",22.355584,114.102726,"Fountain type",1,"07:00","23:00","Maintenance Day","Cold","Indoor",
"Fung Shue Wo Sports Centre","10 Fung Shue Wo Road, Phase II Tsing Yi Estate, Tsing Yi ","Kwai Tsing","New Territories","Near Vending Machine at the Lobby",22.355584,114.102726,"Fountain type",1,"07:00","23:00","Maintenance Day","Hot / Cold","Indoor",
"Hang Ping Street Playground","Junction between Hang Ping Street and Tai Wo Hau Road, Kwai Chung, N.T.","Kwai Tsing","New Territories","Outside the Men's Toilet",22.368021,114.131813,"Fountain type",2,"00:00","24:00",,"Cold","Outdoor",
"Hing Fong Road Playground","Hing Fong Road, Kwai Chung, N.T.","Kwai Tsing","New Territories","Outside Toilet Block at Phrase 1",22.360396,114.128561,"Fountain type",2,"00:00","24:00",,"Cold","Outdoor",
"Kwai Chung San Kui Park","Tai Wo Hau Road, Kwai Chung, N.T.","Kwai Tsing","New Territories","Opposite the Toilet Block",22.367999,114.129961,"Fountain type",2,"00:00","24:00",,"Ambient temperature","Outdoor",
